time_stamp,humidity,temperature (F),temp C
2025-04-02T00:00:00Z,28,52,11.11111111
2025-04-02T00:10:00Z,28.6,52,11.11111111
2025-04-02T00:20:00Z,28,52,11.11111111
2025-04-02T00:30:00Z,27.6,52,11.11111111
2025-04-02T00:40:00Z,26.8,51.399,10.77722222
2025-04-02T00:50:00Z,27,51,10.55555556
2025-04-02T01:00:00Z,27,51,10.55555556
2025-04-02T01:10:00Z,27.399,51,10.55555556
2025-04-02T01:20:00Z,28,50.399,10.22166667
2025-04-02T01:30:00Z,28,50.6,10.33333333
2025-04-02T01:40:00Z,28,50.6,10.33333333
2025-04-02T01:50:00Z,28.399,50.2,10.11111111
2025-04-02T02:00:00Z,29,50,10
2025-04-02T02:10:00Z,29,50,10
2025-04-02T02:20:00Z,29,49.799,9.888333333
2025-04-02T02:30:00Z,29.399,50,10
2025-04-02T02:40:00Z,29.199,50,10
2025-04-02T02:50:00Z,29.8,49.6,9.777777778
2025-04-02T03:00:00Z,30,49,9.444444444
2025-04-02T03:10:00Z,30,49.2,9.555555556
2025-04-02T03:20:00Z,30,49,9.444444444
2025-04-02T03:30:00Z,30.6,49,9.444444444
2025-04-02T03:40:00Z,31,49,9.444444444
2025-04-02T03:50:00Z,31,48.399,9.110555556
2025-04-02T04:00:00Z,31,48.799,9.332777778
2025-04-02T04:10:00Z,31,48.6,9.222222222
2025-04-02T04:20:00Z,30.8,48.799,9.332777778
2025-04-02T04:30:00Z,31.8,46.799,8.221666667
2025-04-02T04:40:00Z,32.2,46.6,8.111111111
2025-04-02T04:50:00Z,32,46.2,7.888888889
2025-04-02T05:00:00Z,32.2,46.799,8.221666667
2025-04-02T05:10:00Z,32,46.6,8.111111111
2025-04-02T05:20:00Z,32,47.2,8.444444444
2025-04-02T05:30:00Z,32.2,47,8.333333333
2025-04-02T05:40:00Z,33,46,7.777777778
2025-04-02T05:50:00Z,33,45.799,7.666111111
2025-04-02T06:00:00Z,33.399,45.2,7.333333333
2025-04-02T06:10:00Z,34.399,45.399,7.443888889
2025-04-02T06:20:00Z,34,45.799,7.666111111
2025-04-02T06:30:00Z,34.399,45,7.222222222
2025-04-02T06:40:00Z,35.799,44.6,7
2025-04-02T06:50:00Z,36,44.6,7
2025-04-02T07:00:00Z,35.6,44.6,7
2025-04-02T07:10:00Z,36,44.799,7.110555556
2025-04-02T07:20:00Z,35.399,45.6,7.555555556
2025-04-02T07:30:00Z,34.399,46.399,7.999444444
2025-04-02T07:40:00Z,34.2,46.799,8.221666667
2025-04-02T07:50:00Z,34.2,47,8.333333333
2025-04-02T08:00:00Z,34.799,47,8.333333333
2025-04-02T08:10:00Z,34.799,47,8.333333333
