timestamp,sensor_id,humidity_rad,temp_rad,humidity_room,temp_room,temperature (outdoor)
4/2/2025 20:02,radiator,41.3,25.5,#N/A,#N/A,
4/2/2025 20:04,room,#N/A,#N/A,40.5,23.3,
4/2/2025 20:11,radiator,41,24.9,#N/A,#N/A,
4/2/2025 20:14,room,#N/A,#N/A,41.5,23.3,
4/2/2025 20:21,radiator,51.4,20.1,#N/A,#N/A,
4/2/2025 20:24,room,#N/A,#N/A,41.8,23,
4/2/2025 20:31,radiator,51.2,20,#N/A,#N/A,
4/2/2025 20:34,room,#N/A,#N/A,41.5,22.8,
4/2/2025 20:41,radiator,51.1,19.9,#N/A,#N/A,
4/2/2025 20:44,room,#N/A,#N/A,41.3,22.7,
4/2/2025 20:51,radiator,50.5,19.9,#N/A,#N/A,
4/2/2025 20:54,room,#N/A,#N/A,41.2,22.7,
4/2/2025 21:01,radiator,50.7,19.9,#N/A,#N/A,
4/2/2025 21:04,room,#N/A,#N/A,41.3,22.7,
4/2/2025 21:11,radiator,50.5,19.9,#N/A,#N/A,
4/2/2025 21:14,room,#N/A,#N/A,40.5,22.6,
4/2/2025 21:21,radiator,50.2,19.9,#N/A,#N/A,
4/2/2025 21:24,room,#N/A,#N/A,40.9,22.5,
4/2/2025 21:31,radiator,51.1,19.8,#N/A,#N/A,
4/2/2025 21:34,room,#N/A,#N/A,40.8,22.5,
4/2/2025 21:41,radiator,50.9,19.9,#N/A,#N/A,
4/2/2025 21:44,room,#N/A,#N/A,40.7,22.5,
4/2/2025 21:51,radiator,49.6,20,#N/A,#N/A,
4/2/2025 21:54,room,#N/A,#N/A,40.9,22.5,
4/2/2025 22:01,radiator,49.1,20.2,#N/A,#N/A,
4/2/2025 22:04,room,#N/A,#N/A,40.7,22.5,
4/2/2025 22:11,radiator,49.2,20.3,#N/A,#N/A,
4/2/2025 22:14,room,#N/A,#N/A,41,22.5,
4/2/2025 22:21,radiator,49.2,20.4,#N/A,#N/A,
4/2/2025 22:24,room,#N/A,#N/A,41,22.5,
4/2/2025 22:31,radiator,48.5,20.5,#N/A,#N/A,
4/2/2025 22:34,room,#N/A,#N/A,40.8,22.5,
4/2/2025 22:41,radiator,49.2,20.6,#N/A,#N/A,
4/2/2025 22:44,room,#N/A,#N/A,40.9,22.5,
4/2/2025 22:51,radiator,48.7,20.6,#N/A,#N/A,
4/2/2025 22:54,room,#N/A,#N/A,41,22.5,
4/2/2025 23:01,radiator,48.7,20.6,#N/A,#N/A,
4/2/2025 23:04,room,#N/A,#N/A,41.1,22.5,
4/2/2025 23:11,radiator,48.2,20.6,#N/A,#N/A,
4/2/2025 23:14,room,#N/A,#N/A,41.2,22.5,
4/2/2025 23:21,radiator,48.9,20.6,#N/A,#N/A,
4/2/2025 23:24,room,#N/A,#N/A,41.4,22.5,
4/2/2025 23:31,radiator,48.3,20.6,#N/A,#N/A,
4/2/2025 23:34,room,#N/A,#N/A,41.5,22.5,
4/2/2025 23:41,radiator,48.2,20.5,#N/A,#N/A,
4/2/2025 23:44,room,#N/A,#N/A,41.3,22.5,
4/2/2025 23:51,radiator,48.5,20.4,#N/A,#N/A,
4/2/2025 23:54,room,#N/A,#N/A,41.4,22.6,
4/3/2025 0:01,radiator,48.3,20.5,#N/A,#N/A,
4/3/2025 0:04,room,#N/A,#N/A,41.5,22.5,
4/3/2025 0:11,radiator,49.1,20.4,#N/A,#N/A,
4/3/2025 0:14,room,#N/A,#N/A,41.7,22.5,
4/3/2025 0:21,radiator,49.6,20.3,#N/A,#N/A,
4/3/2025 0:24,room,#N/A,#N/A,41.8,22.5,
4/3/2025 0:31,radiator,50,20.2,#N/A,#N/A,
4/3/2025 0:34,room,#N/A,#N/A,41.9,22.5,
4/3/2025 0:41,radiator,50.2,20.2,#N/A,#N/A,
4/3/2025 0:44,room,#N/A,#N/A,41.9,22.5,
4/3/2025 0:51,radiator,50.2,20.2,#N/A,#N/A,
4/3/2025 0:54,room,#N/A,#N/A,41.9,22.5,
4/3/2025 1:01,radiator,50.6,20.1,#N/A,#N/A,
4/3/2025 1:04,room,#N/A,#N/A,41.8,22.5,
4/3/2025 1:11,radiator,50.8,20.1,#N/A,#N/A,
4/3/2025 1:14,room,#N/A,#N/A,41.9,22.5,
4/3/2025 1:21,radiator,51.2,20,#N/A,#N/A,
4/3/2025 1:24,room,#N/A,#N/A,42.4,22.5,
4/3/2025 1:31,radiator,51.5,19.9,#N/A,#N/A,
4/3/2025 1:34,room,#N/A,#N/A,42.5,22.5,
4/3/2025 1:41,radiator,51.4,19.9,#N/A,#N/A,
4/3/2025 1:44,room,#N/A,#N/A,42.4,22.5,
4/3/2025 1:51,radiator,51.6,19.9,#N/A,#N/A,
4/3/2025 1:54,room,#N/A,#N/A,42.6,22.5,
4/3/2025 2:01,radiator,51.1,19.9,#N/A,#N/A,
4/3/2025 2:04,room,#N/A,#N/A,42.5,22.5,
4/3/2025 2:11,radiator,51.9,19.9,#N/A,#N/A,
4/3/2025 2:14,room,#N/A,#N/A,42.6,22.5,
4/3/2025 2:21,radiator,51.3,19.9,#N/A,#N/A,
4/3/2025 2:24,room,#N/A,#N/A,42.7,22.5,
4/3/2025 2:31,radiator,51.6,19.9,#N/A,#N/A,
4/3/2025 2:34,room,#N/A,#N/A,42.7,22.5,
4/3/2025 2:41,radiator,52.5,19.8,#N/A,#N/A,
4/3/2025 2:44,room,#N/A,#N/A,42.8,22.5,
4/3/2025 2:51,radiator,51.9,19.8,#N/A,#N/A,
4/3/2025 2:54,room,#N/A,#N/A,42.9,22.5,
4/3/2025 3:01,radiator,52.5,19.9,#N/A,#N/A,
4/3/2025 3:04,room,#N/A,#N/A,42.9,22.5,
4/3/2025 3:11,radiator,52.7,19.8,#N/A,#N/A,
4/3/2025 3:14,room,#N/A,#N/A,43.3,22.5,
4/3/2025 3:21,radiator,53.1,19.8,#N/A,#N/A,
4/3/2025 3:24,room,#N/A,#N/A,43.2,22.5,
4/3/2025 3:31,radiator,53.2,19.8,#N/A,#N/A,
