Unix Time,Eastern Time,Occupancy
1745409600,2025-04-23 08:00:00,1
1745409660,2025-04-23 08:01:00,1
1745409720,2025-04-23 08:02:00,1
1745409780,2025-04-23 08:03:00,1
1745409840,2025-04-23 08:04:00,1
1745409900,2025-04-23 08:05:00,1
1745409960,2025-04-23 08:06:00,1
1745410020,2025-04-23 08:07:00,1
1745410080,2025-04-23 08:08:00,1
1745410140,2025-04-23 08:09:00,1
1745410200,2025-04-23 08:10:00,1
1745410260,2025-04-23 08:11:00,1
1745410320,2025-04-23 08:12:00,1
1745410380,2025-04-23 08:13:00,1
1745410440,2025-04-23 08:14:00,1
1745410500,2025-04-23 08:15:00,1
1745410560,2025-04-23 08:16:00,1
1745410620,2025-04-23 08:17:00,1
1745410680,2025-04-23 08:18:00,1
1745410740,2025-04-23 08:19:00,1
1745410800,2025-04-23 08:20:00,1
1745410860,2025-04-23 08:21:00,1
1745410920,2025-04-23 08:22:00,1
1745410980,2025-04-23 08:23:00,1
1745411040,2025-04-23 08:24:00,1
1745411100,2025-04-23 08:25:00,1
1745411160,2025-04-23 08:26:00,1
1745411220,2025-04-23 08:27:00,1
1745411280,2025-04-23 08:28:00,1
1745411340,2025-04-23 08:29:00,1
1745411400,2025-04-23 08:30:00,1
1745411460,2025-04-23 08:31:00,1
1745411520,2025-04-23 08:32:00,1
1745411580,2025-04-23 08:33:00,1
1745411640,2025-04-23 08:34:00,1
1745411700,2025-04-23 08:35:00,1
1745411760,2025-04-23 08:36:00,1
1745411820,2025-04-23 08:37:00,1
1745411880,2025-04-23 08:38:00,1
1745411940,2025-04-23 08:39:00,1
1745412000,2025-04-23 08:40:00,1
1745412060,2025-04-23 08:41:00,1
1745412120,2025-04-23 08:42:00,1
1745412180,2025-04-23 08:43:00,1
1745412240,2025-04-23 08:44:00,1
1745412300,2025-04-23 08:45:00,1
1745412360,2025-04-23 08:46:00,1
1745412420,2025-04-23 08:47:00,1
1745412480,2025-04-23 08:48:00,1
1745412540,2025-04-23 08:49:00,1
1745412600,2025-04-23 08:50:00,1
1745412660,2025-04-23 08:51:00,1
1745412720,2025-04-23 08:52:00,1
1745412780,2025-04-23 08:53:00,1
1745412840,2025-04-23 08:54:00,1
1745412900,2025-04-23 08:55:00,1
1745412960,2025-04-23 08:56:00,1
1745413020,2025-04-23 08:57:00,1
1745413080,2025-04-23 08:58:00,1
1745413140,2025-04-23 08:59:00,1
1745413200,2025-04-23 09:00:00,1
1745413260,2025-04-23 09:01:00,1
1745413320,2025-04-23 09:02:00,1
1745413380,2025-04-23 09:03:00,1
1745413440,2025-04-23 09:04:00,1
1745413500,2025-04-23 09:05:00,1
1745413560,2025-04-23 09:06:00,1
1745413620,2025-04-23 09:07:00,1
1745413680,2025-04-23 09:08:00,1
1745413740,2025-04-23 09:09:00,1
1745413800,2025-04-23 09:10:00,1
1745413860,2025-04-23 09:11:00,1
1745413920,2025-04-23 09:12:00,1
1745413980,2025-04-23 09:13:00,1
1745414040,2025-04-23 09:14:00,1
1745414100,2025-04-23 09:15:00,1
1745414160,2025-04-23 09:16:00,1
1745414220,2025-04-23 09:17:00,1
1745414280,2025-04-23 09:18:00,1
1745414340,2025-04-23 09:19:00,1
1745414400,2025-04-23 09:20:00,1
1745414460,2025-04-23 09:21:00,1
1745414520,2025-04-23 09:22:00,1
1745414580,2025-04-23 09:23:00,1
1745414640,2025-04-23 09:24:00,1
1745414700,2025-04-23 09:25:00,1
1745414760,2025-04-23 09:26:00,1
1745414820,2025-04-23 09:27:00,1
1745414880,2025-04-23 09:28:00,1
1745414940,2025-04-23 09:29:00,1
1745415000,2025-04-23 09:30:00,1
1745415060,2025-04-23 09:31:00,1
1745415120,2025-04-23 09:32:00,1
1745415180,2025-04-23 09:33:00,1
1745415240,2025-04-23 09:34:00,1
1745415300,2025-04-23 09:35:00,1
1745415360,2025-04-23 09:36:00,1
1745415420,2025-04-23 09:37:00,1
1745415480,2025-04-23 09:38:00,1
1745415540,2025-04-23 09:39:00,1
1745415600,2025-04-23 09:40:00,1
1745415660,2025-04-23 09:41:00,1
1745415720,2025-04-23 09:42:00,1
1745415780,2025-04-23 09:43:00,1
1745415840,2025-04-23 09:44:00,1
1745415900,2025-04-23 09:45:00,1
1745415960,2025-04-23 09:46:00,1
1745416020,2025-04-23 09:47:00,1
1745416080,2025-04-23 09:48:00,1
1745416140,2025-04-23 09:49:00,1
1745416200,2025-04-23 09:50:00,1
1745416260,2025-04-23 09:51:00,1
1745416320,2025-04-23 09:52:00,1
1745416380,2025-04-23 09:53:00,1
1745416440,2025-04-23 09:54:00,1
1745416500,2025-04-23 09:55:00,1
1745416560,2025-04-23 09:56:00,1
1745416620,2025-04-23 09:57:00,1
1745416680,2025-04-23 09:58:00,1
1745416740,2025-04-23 09:59:00,1
1745416800,2025-04-23 10:00:00,1
1745416860,2025-04-23 10:01:00,1
1745416920,2025-04-23 10:02:00,1
1745416980,2025-04-23 10:03:00,1
1745417040,2025-04-23 10:04:00,1
1745417100,2025-04-23 10:05:00,1
1745417160,2025-04-23 10:06:00,1
1745417220,2025-04-23 10:07:00,1
1745417280,2025-04-23 10:08:00,1
1745417340,2025-04-23 10:09:00,1
1745417400,2025-04-23 10:10:00,1
1745417460,2025-04-23 10:11:00,1
1745417520,2025-04-23 10:12:00,1
1745417580,2025-04-23 10:13:00,1
1745417640,2025-04-23 10:14:00,1
1745417700,2025-04-23 10:15:00,1
1745417760,2025-04-23 10:16:00,1
1745417820,2025-04-23 10:17:00,1
1745417880,2025-04-23 10:18:00,1
1745417940,2025-04-23 10:19:00,1
1745418000,2025-04-23 10:20:00,1
1745418060,2025-04-23 10:21:00,1
1745418120,2025-04-23 10:22:00,1
1745418180,2025-04-23 10:23:00,1
1745418240,2025-04-23 10:24:00,1
1745418300,2025-04-23 10:25:00,1
1745418360,2025-04-23 10:26:00,1
1745418420,2025-04-23 10:27:00,1
1745418480,2025-04-23 10:28:00,1
1745418540,2025-04-23 10:29:00,1
1745418600,2025-04-23 10:30:00,1
1745418660,2025-04-23 10:31:00,1
1745418720,2025-04-23 10:32:00,1
1745418780,2025-04-23 10:33:00,1
1745418840,2025-04-23 10:34:00,1
1745418900,2025-04-23 10:35:00,1
1745418960,2025-04-23 10:36:00,1
1745419020,2025-04-23 10:37:00,1
1745419080,2025-04-23 10:38:00,1
1745419140,2025-04-23 10:39:00,1
1745419200,2025-04-23 10:40:00,1
1745419260,2025-04-23 10:41:00,1
1745419320,2025-04-23 10:42:00,1
1745419380,2025-04-23 10:43:00,1
1745419440,2025-04-23 10:44:00,1
1745419500,2025-04-23 10:45:00,1
1745419560,2025-04-23 10:46:00,1
1745419620,2025-04-23 10:47:00,1
1745419680,2025-04-23 10:48:00,1
1745419740,2025-04-23 10:49:00,1
1745419800,2025-04-23 10:50:00,1
1745419860,2025-04-23 10:51:00,1
1745419920,2025-04-23 10:52:00,1
1745419980,2025-04-23 10:53:00,1
1745420040,2025-04-23 10:54:00,1
1745420100,2025-04-23 10:55:00,1
1745420160,2025-04-23 10:56:00,1
1745420220,2025-04-23 10:57:00,1
1745420280,2025-04-23 10:58:00,1
1745420340,2025-04-23 10:59:00,1
1745420400,2025-04-23 11:00:00,1
1745420460,2025-04-23 11:01:00,1
1745420520,2025-04-23 11:02:00,1
1745420580,2025-04-23 11:03:00,1
1745420640,2025-04-23 11:04:00,1
1745420700,2025-04-23 11:05:00,1
1745420760,2025-04-23 11:06:00,1
1745420820,2025-04-23 11:07:00,1
1745420880,2025-04-23 11:08:00,1
1745420940,2025-04-23 11:09:00,1
1745421000,2025-04-23 11:10:00,1
1745421060,2025-04-23 11:11:00,1
1745421120,2025-04-23 11:12:00,1
1745421180,2025-04-23 11:13:00,1
1745421240,2025-04-23 11:14:00,1
1745421300,2025-04-23 11:15:00,1
1745421360,2025-04-23 11:16:00,1
1745421420,2025-04-23 11:17:00,1
